"DateTime","Morpho - Price","Morpho - Market Cap","Morpho - Fully Diluted Market Cap","Morpho - Fees","Morpho - Circulating Supply"
"2025-02-26 00:00:00",2.017959584,454521011.030606,2017959584.0000002,732886,225117658.462979
"2025-02-27 00:00:00",2.425182457,546335342.768511,2425182457,539997,225117871.101401
"2025-02-28 00:00:00",2.102066339,472736968.148883,2102066338.9999998,436592,225123626.406204
"2025-03-01 00:00:00",2.025506472,456042423.062976,2025506472,436216,225128060.720342
"2025-03-02 00:00:00",2.172700527,489371195.566039,2172700527,450165,225140528.881272
"2025-03-03 00:00:00",1.812371466,427883509.677262,1812371466,420351,235822216.438729
"2025-03-04 00:00:00",1.735196423,409263363.199154,1735196423,419517,235839474.758326
"2025-03-05 00:00:00",1.733892715,409691934.811602,1733892715,393747,235871055.163198
"2025-03-06 00:00:00",1.582795457,373071800.152707,1582795457,363317,235874302.898384
"2025-03-07 00:00:00",1.56150215,368093174.83883,1561502150,386599,235925998.913759
"2025-03-08 00:00:00",1.512567783,356551895.285757,1512567783,354818,235941567.160716
"2025-03-09 00:00:00",1.248656175,294734470.996949,1248656175,384659,235941568.749719
"2025-03-10 00:00:00",1.175141331,277462593.583311,1175141331,341231,235984429.507317
"2025-03-11 00:00:00",1.196596279,282286452.532389,1196596279,347216,236037098.859303
"2025-03-12 00:00:00",1.31904458,310863806.81119,1319044580,309432,236037104.426946
"2025-03-13 00:00:00",1.273373572,300674022.127962,1273373572,361559,236040355.088436
"2025-03-14 00:00:00",1.276976136,301464915.448875,1276976136,314584,304832826.448984
"2025-03-15 00:00:00",1.32235521,312228415.253812,1322355210,311657,236048214.69185
"2025-03-16 00:00:00",1.247839395,294374077.774581,1247839395,319375,236048391.460793
"2025-03-17 00:00:00",1.299166517,306649793.523119,1299166517,353531,236048449.516181
"2025-03-18 00:00:00",1.304236144,308000037.741887,1304236144,330802,236135638.52585
"2025-03-19 00:00:00",1.393052459,329052325.639958,1393052459,313812,236156122.424224
"2025-03-20 00:00:00",1.343724942,317362328.035579,1343724942,357031,236161302.608798
"2025-03-21 00:00:00",1.329813273,314281561.388143,1329813273,389244,236195872.492492
"2025-03-22 00:00:00",1.350043403,318960127.942251,1350043403,302686,236195990.575742
"2025-03-23 00:00:00",1.348119379,317694739.502734,1348119379,344048,236238086.068944
"2025-03-24 00:00:00",1.413283967,332592610.673286,1413283967,284230,236275493.584117
"2025-03-25 00:00:00",1.455566167,343735817.537677,1455566167,291698,236276818.345391
"2025-03-26 00:00:00",1.468363788,346813774.58423,1468363788,271076,236290672.37471
"2025-03-27 00:00:00",1.565178806,369909660.194724,1565178806,249848,236304771.10897
"2025-03-28 00:00:00",1.404772507,332160523.825813,1404772507,257515,236336998.329549
"2025-03-29 00:00:00",1.283048523,303401713.54679,1283048523,240594,236442513.70956
"2025-03-30 00:00:00",1.229892588,290432028.992861,1229892588,216421,236442513.753312
"2025-03-31 00:00:00",1.217944349,289084852.265959,1217944349,211227,237311196.123552
"2025-04-01 00:00:00",1.249378082,296996502.47992,1249378082,219431,237354731.000257
"2025-04-02 00:00:00",1.107827913,263450526.329315,1107827913,247277,237588579.864558
"2025-04-03 00:00:00",1.128795224,268859272.530708,1128795224,241282,237591785.115229
